source_city,target_city,month,edge_weight
Hong Kong,Shanghai,202209,1
Hong Kong,Shanghai,202210,1
Hong Kong,Shanghai,202211,1
Hong Kong,Shanghai,202212,1
Hong Kong,Shanghai,202301,1
Hong Kong,Shanghai,202302,1
Hong Kong,Shanghai,202303,1
Hong Kong,Shanghai,202304,1
Hong Kong,Shanghai,202305,1
Hong Kong,Shanghai,202306,1
Hong Kong,Shanghai,202307,1
Hong Kong,Shanghai,202308,1
Hong Kong,Shanghai,202309,1
Hong Kong,Shanghai,202310,1
Hong Kong,Shanghai,202311,1
Hong Kong,Shanghai,202312,1
Hong Kong,Shanghai,202401,1
Hong Kong,Shanghai,202402,1
Hong Kong,Shanghai,202403,1
Hong Kong,Shanghai,202404,1
Hong Kong,Shanghai,202405,1
Hong Kong,Shanghai,202406,1
Hong Kong,Shanghai,202407,1
Hong Kong,Shanghai,202408,1
Hong Kong,Shanghai,202409,1
Hong Kong,Shanghai,202410,1
Hong Kong,Shanghai,202411,1
Hong Kong,Shanghai,202412,1
Hong Kong,Shanghai,202501,1
Hong Kong,Shanghai,202502,1
Hong Kong,Shanghai,202503,1
Hong Kong,Shanghai,202504,1
Hong Kong,Shanghai,202505,1
Hong Kong,Shanghai,202506,1
Hong Kong,Shanghai,202507,1
Hong Kong,Shanghai,202508,1
Hong Kong,Shanghai,202509,1
Hong Kong,Shanghai,202510,1
Hong Kong,Shanghai,202512,1
Hong Kong,Singapore,202201,1
Hong Kong,Singapore,202202,1
Hong Kong,Singapore,202203,1
Hong Kong,Singapore,202204,1
Hong Kong,Singapore,202205,1
Hong Kong,Singapore,202206,1
Hong Kong,Singapore,202207,1
Hong Kong,Singapore,202208,1
Hong Kong,Singapore,202209,1
Hong Kong,Singapore,202210,1
Hong Kong,Singapore,202211,1
Hong Kong,Singapore,202212,1
Hong Kong,Singapore,202302,1
Hong Kong,Singapore,202303,1
Hong Kong,Singapore,202304,1
Hong Kong,Singapore,202305,1
Hong Kong,Singapore,202306,1
Hong Kong,Singapore,202307,1
Hong Kong,Singapore,202308,1
Hong Kong,Singapore,202309,1
Hong Kong,Singapore,202310,1
Hong Kong,Singapore,202311,1
Hong Kong,Singapore,202312,1
Hong Kong,Singapore,202401,1
Hong Kong,Singapore,202402,1
Hong Kong,Singapore,202403,1
Hong Kong,Singapore,202404,1
Hong Kong,Singapore,202405,1
Hong Kong,Singapore,202406,1
Hong Kong,Singapore,202407,1
Hong Kong,Singapore,202408,1
Hong Kong,Singapore,202409,1
Hong Kong,Singapore,202410,1
Hong Kong,Singapore,202411,1
Hong Kong,Singapore,202412,1
Hong Kong,Singapore,202501,1
Hong Kong,Singapore,202502,1
Hong Kong,Singapore,202503,1
Hong Kong,Singapore,202504,1
Hong Kong,Singapore,202506,1
Hong Kong,Singapore,202507,1
Hong Kong,Singapore,202508,1
Hong Kong,Singapore,202509,1
Hong Kong,Singapore,202510,1
Hong Kong,Singapore,202512,1
Hong Kong,Tokyo,202201,1
Hong Kong,Tokyo,202202,1
Hong Kong,Tokyo,202203,1
Hong Kong,Tokyo,202204,1
Hong Kong,Tokyo,202205,1
Hong Kong,Tokyo,202207,1
Hong Kong,Tokyo,202208,1
