entity_id,entity_type,raw_location,platform,cleaned_location,matched_city,country,lat,lon,confidence
GreyDGL,github_user,Singapore,GitHub,Singapore,Singapore,Singapore,1.3521,103.8198,high
bentoml,github_organization,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
RUCAIBox,github_organization,,GitHub,,,,,,none
OpenMOSS,github_organization,China,GitHub,China,,,,,low
h2oai,github_organization,"Mountain View, CA",GitHub,"Mountain View, CA",Mountain View,United States,37.3861,-122.0839,high
TheR1D,github_user,"Prague, Czech Republic",GitHub,"Prague, Czech Republic",Prague,Czech Republic,50.0755,14.4378,high
Chainlit,github_organization,France,GitHub,France,,,,,low
e2b-dev,github_organization,United States of America,GitHub,United States of America,,,,,low
axolotl-ai-cloud,github_organization,United States of America,GitHub,United States of America,,,,,low
simonw,github_user,"Half Moon Bay, California",GitHub,"Half Moon Bay, California",Half Moon Bay,United States,37.4635519,-122.428586,medium
langchain4j,github_organization,,GitHub,,,,,,none
artidoro,github_user,,GitHub,,,,,,none
databrickslabs,github_organization,,GitHub,,,,,,none
Mooler0410,github_user,,GitHub,,,,,,none
sigoden,github_user,,GitHub,,,,,,none
brexhq,github_organization,,GitHub,,,,,,none
BlinkDL,github_user,,GitHub,,,,,,none
nlpxucan,github_user,"Seattle, U.S.A.",GitHub,"Seattle, U.S.A",Seattle,United States,47.6062,-122.3321,high
FMInference,github_organization,,GitHub,,,,,,none
kyrolabs,github_organization,New Zealand,GitHub,New Zealand,,,,,low
xorbitsai,github_organization,,GitHub,,,,,,none
tmc,github_user,SF,GitHub,SF,San Francisco,United States,37.7749,-122.4194,high
OptimalScale,github_organization,,GitHub,,,,,,none
rockbenben,github_user,,GitHub,,,,,,none
LianjiaTech,github_organization,Beijing,GitHub,Beijing,Beijing,China,39.9042,116.4074,high
zilliztech,github_organization,United States of America,GitHub,United States of America,,,,,low
InternLM,github_organization,China,GitHub,China,,,,,low
Azure-Samples,github_organization,"Redmond, WA",GitHub,"Redmond, WA",Redmond,United States,47.674,-122.1215,high
PKU-YuanGroup,github_organization,China,GitHub,China,,,,,low
di-sukharev,github_user,,GitHub,,,,,,none
open-compass,github_organization,China,GitHub,China,,,,,low
yihong0618,github_user,China,GitHub,China,,,,,low
MineDojo,github_organization,,GitHub,,,,,,none
guardrails-ai,github_organization,United States of America,GitHub,United States of America,,,,,low
yangjianxin1,github_user,"Alibaba, Hangzhou, China",GitHub,"Alibaba, Hangzhou, China",Hangzhou,China,30.2741,120.1551,high
superagent-ai,github_organization,United States of America,GitHub,United States of America,,,,,low
wgwang,github_user,"Shanghai, China",GitHub,"Shanghai, China",Shanghai,China,31.2304,121.4737,high
nat,github_user,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
josStorer,github_user,,GitHub,,,,,,none
yl4579,github_user,"New York, US",GitHub,"New York, US",New York,United States,40.7128,-74.006,high
Shaunwei,github_user,CA,GitHub,CA,,,,,low
wenda-LLM,github_organization,,GitHub,,,,,,none
rustformers,github_organization,Antarctica,GitHub,Antarctica,,,,,low
PrefectHQ,github_organization,"Washington, DC",GitHub,"Washington, DC",Washington,United States,38.9072,-77.0369,high
NVIDIA-NeMo,github_organization,,GitHub,,,,,,none
princeton-nlp,github_organization,,GitHub,,,,,,none
jeinlee1991,github_user,,GitHub,,,,,,none
ikaijua,github_user,,GitHub,,,,,,none
baichuan-inc,github_organization,,GitHub,,,,,,none
nextai-translator,github_organization,,GitHub,,,,,,none
ramon-victor,github_user,Brazil,GitHub,Brazil,,,,,low
modelscope,github_organization,,GitHub,,,,,,none
imoneoi,github_user,,GitHub,,,,,,none
Helicone,github_organization,,GitHub,,,,,,none
bbycroft,github_user,,GitHub,,,,,,none
opencx-labs,github_organization,,GitHub,,,,,,none
shibing624,github_user,"Beijing, China",GitHub,"Beijing, China",Beijing,China,39.9042,116.4074,high
dsdanielpark,github_user,Seoul,GitHub,Seoul,Seoul,South Korea,37.5665,126.978,high
HaujetZhao,github_user,,GitHub,,,,,,none
AutoGPTQ,github_organization,,GitHub,,,,,,none
OpenBMB,github_organization,,GitHub,,,,,,none
SCIR-HI,github_user,"Harbin, China",GitHub,"Harbin, China",Harbin,China,45.7593633,126.6276177,medium
tencentmusic,github_organization,,GitHub,,,,,,none
ParisNeo,github_user,France,GitHub,France,,,,,low
kyegomez,github_user,Palo Alto,GitHub,Palo Alto,Palo Alto,United States,37.4419,-122.143,high
Ironclad,github_organization,"San Francisco, CA",GitHub,"San Francisco, CA",San Francisco,United States,37.7749,-122.4194,high
getzep,github_organization,United States of America,GitHub,United States of America,,,,,low
mosaicml,github_organization,United States of America,GitHub,United States of America,,,,,low
Instruction-Tuning-with-GPT-4,github_user,,GitHub,,,,,,none
gptme,github_organization,,GitHub,,,,,,none
Agenta-AI,github_organization,Germany,GitHub,Germany,,,,,low
billmei,github_user,,GitHub,,,,,,none
langroid,github_organization,,GitHub,,,,,,none
ravenscroftj,github_user,United Kingdom,GitHub,United Kingdom,,,,,low
vocodedev,github_organization,United States of America,GitHub,United States of America,,,,,low
Dataherald,github_organization,,GitHub,,,,,,none
SciSharp,github_organization,"Chicago, US",GitHub,"Chicago, US",Chicago,United States,41.8781,-87.6298,high
LC1332,github_user,,GitHub,,,,,,none
mukulpatnaik,github_user,,GitHub,,,,,,none
Docta-ai,github_organization,United States of America,GitHub,United States of America,,,,,low
BeastByteAI,github_organization,,GitHub,,,,,,none
iusztinpaul,github_user,Remote,GitHub,Remote,Oregon,United States,43.0059455,-123.8925908,medium
DSXiangLi,github_user,北京,GitHub,北京,Beijing,China,39.9057136,116.3912972,medium
Zjh-819,github_user,,GitHub,,,,,,none
